Notes for posting,Shared,Timestamp,Contact,Organization,Email,Phone Number,Short Description of Advanced Training Opportunity (3-5 sentences),Location of Advanced Training Opportunity,Date(s) and Time(s) of Advanced Training,Any additional information:,Email Address,,,
,X,11/25/2023 13:16:48,Sam De Roche,"Wisconsin DNR, Mead Wildlife Area",Sandra.DeRoche@wisconsin.gov,715-540-6013,"The UWSP Herpetology Society will be at the Mead sharing hands-on herpetological education, sharing rare specimens, and presenting on herpetology research conducted at the Mead as well as information on reptile eggs and incubation. ","Stanton W Mead Education and Visitor Center, 201517 Cty Hwy S, Milladore, WI","December 3, 2024, 1-4:00pm",,Sandra.DeRoche@wisconsin.gov,,,
,X,11/25/2023 13:22:24,Sam De Roche,"WDNR, Mead Wildlife Area",Sandra.DeRoche@wisconsin.gov,715-540-6013,"Dr. Lydia Margenau will present, virtually, on their research, ""Survival and Cause-specific Mortality of Coyotes in Wisconsin"" with time for Q&A. Free. Registration required (see link below).",Virtal experience presented from the Mead Wildlife Area,"December 11, 2023, 6:30-7:30pm",Registration required: https://bit.ly/3RhosOE,Sandra.DeRoche@wisconsin.gov,,,
,X,1/3/2024 16:25:32,Retzer Nature Center - Spring Workshop Day - Composting,Retzer Nature Center,ckavalauskas@waukeshacounty.gov,2628968007,"Spring Workshop Day Composting Programs: The Bad and The Ugly: Ten Plant Diseases Not To Compost, presented by Dr. Brian Hudelson, Directory of Plant Disease Diagnostic Clinic - UWM. Home Composting From Start to Finish, presented by Abbie Liedtke, Master Composter - Waukesha County Recycling & Solid Waste.","Retzer Nature Center, Waukesha","Saturday, March 16, 9am - 12pm","Registration is $20. Please register by 3/15 at the following link: https://www.waukeshacounty.gov/springworkshops

The Bad and The Ugly: Ten Plant Diseases Not To Compost - Certain plant diseases are so horrible or so deadly that composting is not an appropriate way to get rid of affected plants. Learn about some of these diseases and their proper management at this workshop.

Home Composting: From Start to Finish - Composting food and yard waste at home can save landfill space, provide “black gold” for your garden and serve as a model of sustainability by returning valuable organic material to your soil. Join us to learn more about how to compost at home and all of its benefits!",ckavalauskas@waukeshacounty.gov,,,
,,1/4/2024 9:29:28,Sam De Roche,WDNR: George W. Mead Wildlife Area,Sandra.DeRoche@wisconsin.gov,715-540-6013,"Mondays at Mead is a free, virtual learning experience. January 8th, 6:30-7:30pm, Dr Zach Feiner will present, ""Panfish Angling Trends"". Registration is required: http://bit.ly/3Pd50Qx",George W. Mead Wildlife Area (Virtual),"January 8, 2024; 6:30-7:30pm",,Sandra.DeRoche@wisconsin.gov,,,
,duplicate of row 133,1/10/2024 15:45:34,Matt,Riveredge Nature Center,msmith@riveredge.us,4147311541,"Join Matt Smith, a professional Restoration Ecologist with over 22 years of experience, for an entirely outside hands-on field demonstration in the arts of pruning, coppicing and tree release for restoration and landscaping. Please dress for the weather and please bring a lunch.",Riveredge Nature Center 4458 County Rd Y Saukville WI 53080,02/23/2024 9am - 2:30pm,,msmith@riveredge.us,,,
,X,1/10/2024 15:48:24,Matt Smith,Riveredge Nature Center,msmith@riveredge.us,4147311541,"Agroforestry: Apple Tree Grafting with Dan Bussey  https://www.riveredgenaturecenter.org/event/agroforestry-apple-tree-grafting-with-dan-bussey-2/
Apple Historian Dan Bussey is widely known for his expertise as the author of The Illustrated History of Apples In the US and Canada and his previous work as Orchard Manager for Seed Savers Exchange.  Dan has been dedicated to the preservation and management of heirloom species, and has brought many of them back from the brink of extinction.  Although his work chronicles 16,350 apple varietal listings, he will be working with us to share the diversity of apples at the Riveredge Farm.  Participants will learn how to graft 3 species of apples, currently growing at our permaculture Farm, onto M-2 semi-dwarf root stock.  Registered participants get to take home 3 grafted apple trees in 7-gallon felt pots.","Riveredge Nature Center Saukville, WI",03/23/2024 12pm-4pm,,msmith@riveredge.us,,,
,X,1/10/2024 15:50:47,Matthew Smith,Riveredge Nature Center,msmith@riveredge.us,4147311541,"Pruning, Coppicing and Tree Release 
https://www.riveredgenaturecenter.org/event/pruning-coppicing-and-tree-release/  
Join Matt Smith, a professional Restoration Ecologist with over 22 years of experience, for an entirely outside hands-on field demonstration in the arts of pruning, coppicing and tree release for restoration and landscaping. Please dress for the weather and please bring a lunch.",Riveredge Nature Center,02/23/2024 9:00am - 2:30pm,,msmith@riveredge.us,,,
,X,1/12/2024 14:48:19,Jana Gedymin,Riveredge Nature Center,jgedymin@riveredge.us,262-375-2715,"Raptors of Wisconsin: 

Come learn all about Wisconsin Birds of Prey! In this course, local raptor experts from Cedar Grove Ornithological Research Station will share their unique knowledge about the identification, ecology, and behavior of Wisconsin’s iconic hawks, eagles, falcons and owls. You will also learn about their long-term ongoing raptor research and how it is accomplished using trapping and banding techniques.

https://www.riveredgenaturecenter.org/event/raptors-of-wisconsin/","Riveredge Nature Center: 4458 County Rd Y, Saukville, WI 53080",2/17/2024 10 am - 2 pm,,jgedymin@riveredge.us,,,
,X,1/15/2024 9:51:12,Jana Gedymin ,Riveredge Nature Center,jgedymin@riveredge.us,262-375-,"Ducks of Wisconsin Field Identification Workshop: 

Learn all about Wisconsin ducks with guest speaker Jeff Bahls, President of the Horicon Marsh Bird club, Wood Duck Society board member, and 2018 recipient for the Wisconsin Society of Ornithology bronze Passenger Pigeon award! As an avid birder and duck hunter, Jeff has a wealth of information to share with bird enthusiasts on the life history of some of his favorite duck species, where and when to find them and how to identify them in the field.

https://www.riveredgenaturecenter.org/event/ducks-of-wisconsin-field-identification-workshop/2024-03-05/","Riveredge Nature Center: 4458 County Rd Y, Saukville, WI 53080",This is a 2 part series. March 5th 6 - 8 pm classroom workshop portion at Riveredge Nature Center and March 9th 7:45 am - 12pm is a field identification portion at Horicon Marsh,,jgedymin@riveredge.us,,,
,X,2/16/2024 14:49:35,Chris Kavalauskas,Retzer Nature Center,ckavalauskas@waukeshacounty.gov,262-896-8007,"The study of birds can be fascinating, inspiring, life-changing, challenging, and sometimes downright frustrating. Join Dr. Andrew Cassini on a nine week journey to learn all about bird identification.

This rigorous field ornithology course at Retzer Nature Center will focus on learning bird identification of around 250 birds by sight and sound, while developing field craft skills in binocular and spotting scope use, along with related technology. Participants will experience great birding opportunities and will visit various birding hotspots in Southeastern Wisconsin.","Retzer Nature Center, Waukesha","10 Indoor Classroom Sessions (Tuesday evenings, 6-7pm) April 2, 9, 16, 23, 30; May 7, 14, 21, 28; June 4 and 5 Outdoor Field Sessions (Saturdays 6-11am) April 6, 20 and May 4, 11, 18",$300 per person and includes 10 Indoor Classroom Sessions and 5 Outdoor Field Sessions. Class begins April 2 and Registration closes March 19. More information and registration links can be found at https://www.waukeshacounty.gov/landandparks/park-system/find-a-park/retzer-nature-center/specialevents/FieldOrnithology/,ckavalauskas@waukeshacounty.gov,,,
,X,2/22/2024 14:32:29,Sam De Roche,Wisconsin DNR,Sandra.DeRoche@wisconsin.gov,715-540-6013,"Grace Nugent, Wildlife Biologist for the Wisconsin DNR, will be presenting Living with Black Bears: What to Know if Your Home is in Black Bear Territory. This hybrid event is free. Attendee will be in-person at the Stanton  W. Mead Education and Visitor Center; virtual will be via Zoom. Registration is required. Email Sandra.DeRoche@wisconsin.gov and state if you'd like to attend in-person or online. Snacks, coffee, and tea will be served.","Stanton W. Mead Education and Visitor Center, 201517 Cty Hwy S, Milladore, WI (20-30 minutes from Wausau, Stevens Point, and Wisconsin Rapids)","March 9, 2024",,Sandra.DeRoche@wisconsin.gov,,,
,X,2/29/2024 15:10:38,Sam De Roche,WDNR: Mead Wildlife Area,Sandra.DeRoche@wisconsin.gov,715-540-6013,"Meaghan Cibarich, WDNR Communication Coordinator in the Office of Emerging Contaminants will be presenting for Mondays at Mead: What are PFAS? How Do They Impact Humans and Wildlife? This virtual event will be March 11th, 6:30-7:30pm. Registration is required: http://bit.ly/3sJsmFK",Virtual,"March 11, 2024; 6:30-7:30pm","If you have any questions, email Sam at Sandra.DeRoche@wisconsin.gov",Sandra.DeRoche@wisconsin.gov,,,
,X,3/27/2024 14:08:09,Hannah Gargrave,North Lakeland Discovery Center,hannah@discoverycenter.net,7155432085,"Join the North Lakeland Discovery Center in celebrating World Migratory Bird Day! Explore the wildlife and natural beauty of the Wisconsin Northwoods with a keynote presentation by renowned author John Bates, live raptor presentation by the Raptor Education Group, Inc., a field trip to the Northwoods Wildlife Center, bird banding demonstrations, guided bird watching expeditions, informational sessions, and more! For more information and registration, please visit the event webpage: https://nldc.app.neoncrm.com/np/clients/nldc/event.jsp?event=50094& ","North Lakeland Discovery Center, Manitowish Waters, Wisconsin","Friday, May 10 - Saturday, May 11, 2024 ",Registration includes breakfast and lunch on Saturday. Lodging is also available. Please contact Hannah@discoverycenter.net or call 715-543-2085 for more information. ,hannah@discoverycenter.net,,,
,X,3/27/2024 14:12:01,Jamie Vandenlangenberg,North Lakeland Discovery Center,jamie@discoverycenter.net,7155432085,"Join us for a gathering focused on partnerships and collaboration as we come together to celebrate water, explore solutions, and stay informed about science and research related to our Northwoods and treasured lakes. We invite presenters to join us to share on various topics including but not limited to AIS, water quality, shoreline development, restoration, lake association and community-wide partnerships, grants, local government, fisheries, ecology, terrestrial invasive species, and CBCW. Visit the event page for more information: https://nldc.app.neoncrm.com/np/clients/nldc/event.jsp?event=50095&","North Lakeland Discovery Center, Manitowish Waters, Wisconsin","May 3, 2024","For more information, please contact Jamie@discoverycenter.net or call 715-543-2085",jamie@discoverycenter.net,,,
,X,4/12/2024 10:00:26,Dusty Krikau,Congregation of Sisters of St. Agnes,dkrikau@csasisters.org,920-907-2317,"The Earth Day Fair features five 45-minute throughout the day, 18 Earth-focused exhibitors in Founders Hall, and a raffle. Various guided tours will be offered over the course of the day, including solar array tours, a bird walk, and a two-hour in-depth tour of the land including the escarpment. Food truck on site for lunch! An hour-long adopt-a-highway clean up will take place just prior to the fair for those looking for a service opportunity. See website.",Motherhouse of the Congregation of Sisters of St. Agnes (CSA) at 320 County Rd K in Fond du Lac. ,"April 27, 2024, from 10 a.m. to 3 p.m.","Event website: https://www.csasisters.org/engage-with-us/earth-fair.cfm

Private tours can be requested any time of year: https://www.csasisters.org/engage-with-us/tours.cfm",dkrikau@csasisters.org,,,
,X,4/18/2024 8:41:47,Samantha Betancur,"UW-Green Bay, Cofrin Center for Biodiversity",betancus@uwgb.edu,920-465-2591,"Join Dr. Keir Wefferling (Curator of the Fewless Herbarium at UW-Green Bay) for a one-day field workshop in Door County identifying and discussing the ecology of minerotrophic peatland bryophytes (mosses and liverworts). The course targets an audience with some familiarity with plant identification, though no experience with identification of bryophytes is assumed. We will be able to access most sites (rich fen, sedge meadow, conifer swamp) via boardwalk and trails, but participants should be prepared for rough terrain and unexpected early May weather, insects, etc. Rubber roots and a hand lens (plus water, lunch, sunhat, raingear, etc.) are strongly recommended. This course does not have a classroom component, but the instructor can suggest some readings to complete beforehand to give participants some background in bryophyte identification and ecology.","The Ridges Sanctuary, Bailey's Harbor, WI","May 4, 2024 8:30am-4pm",Workshop will also take place at the Toft Point State Natural Area. Please pack a lunch.,betancus@uwgb.edu,,,
,X,4/29/2024 12:10:37,Sue Trull,North Woods Native Plant Society,suetrull@att.net,906-285-2137,"Border Creek Paddle 
St. Germain, Vilas County, WI
Time: 9am (Central), Sunday May 19, 2024
Place: Border Creek Landing GPS = 45.899098 -89.538219
Directions:  Border Creek Road, south of Highway 70, and 0.3 miles west of Sisters Saloon, and 0.5 miles east of Cty Rd C.  Drive 1.5 miles straight south on Border Creek Rd.  Keep going south on the 2 track after 1.4 miles, instead of turning east with the road.  The landing is small so you will need to drop off your kayak and then park up the road.  
Site:  The Border Creek area is 815 acres of a wetland complex surrounded by upland forest.  Most of the land is in DNR (public) ownership.  There are a couple of beaver dams we will have to climb over as we paddle 2 miles upstream to the spring areas at the headwaters.  We will paddle through a mosaic of emergent, scrub/shrub, and forested wetland types, looking at the vegetation and wildlife habitat this area offers and talk about the geography and historical uses of an area like this.  
Bring: Paddle craft, life vest, plenty of water, hat, bug resistance, snacks, any plant id materials you usually carry.
Reservations required so you can be contacted in the event of cancellation due to weather concerns.  Please send an email to resharka@gmail.com  and provide a phone number where you can be reached the morning of the trip in the event of cancellation.",Border Creek Landing GPS = 45.899098 -89.538219 ,"9am (Central), Sunday May 19, 2024",RSVP required:  send an email to resharka@gmail.com and provide a phone number,suetrull@att.net,,,
,X,5/2/2024 11:50:51,Brenna Marsicek,Southern Wisconsin Bird Alliance,bmarsicek@swibirds.org,608-255-2473,"At this free event, Brenna Marsicek, Director of Outreach, Southern Wisconsin Bird Alliance (formerly Madison Audubon) will discuss the problem of bird-window collisions and show you how to make your windows safer for birds. All attendees will be eligible to enter a door prize drawing. This program is co-sponsored by the Carnegie-Schadde Memorial Public Library and Powered Up Baraboo as part of a local observance of World Migratory Bird Day.","Carnegie-Schadde Memorial Public Library Auditorium, 230 4th Ave., Baraboo, WI","Tuesday, May 14, 6:30-7:30 PM",,bmarsicek@swibirds.org,,,
,X,5/2/2024 12:53:44,Aubrey Fulsaas,Schlitz Audubon Nature Center,afulsaas@schlitzaudubon.org,4143522880x204,"Behavioral Ecology Workshop
Go beyond species identification and explore why animals behave in certain ways to survive, reproduce, and compete in their habitats. Through classroom learning and guided hiking, discover how natural selection and ecological pressure shapes the instincts of all animals large and small. This course will examine the concepts of competition, predator defense, sexual selection, parental care, and more. We will discuss adaptations that Wisconsin animals utilize and interpret wildlife behaviors along our trails. Participants will come to better understand the complex relationships among wild animals. This workshop is led by Aubrey Fulsaas, whose collegiate academics focused on the field of Animal Behavior. This workshop will take place both indoors and outdoors.",Schlitz Audubon Nature Center,"Saturday, May 4th 9:00am-12:00pm","REGISTRATION REQUIRED. 
Register on our website: 
https://www.schlitzaudubon.org/event/behavioral-ecology-workshop/",afulsaas@schlitzaudubon.org,,,
OK to post!,X,5/20/2024 19:29:24,Melanie Michaels,Timber Wolf Alliance,TWA@northland.edu,,715-682-1489,"Join Timber Wolf Alliance Chair Adrian Wydeven and TWA Advisory Council members for this wolf ecology volunteer certification course. Learn about wolf ecology, wolf monitoring techniques, and the latest wolf issues from biologists and educators immersed in this field. Time will be spent in the classroom and in the field surveying wolf pack territories. Participants will assist with wolf howling surveys and learn techniques in wolf tracking and radio telemetry. Fore more information visit: https://www.northland.edu/event/wolf-ecology-weekend/
Space is limited. Registration is required. ","Forest Lodge, Cable, WI",7:00 pm 8/16- 12:00 pm 8/18,,mmichaels@northland.edu,,
OK to post!,X,6/10/2024 14:07:32,Sue Trull,North Woods Native Plant Society,suetrull@att.net,9062852137,"Peatland Ramble:  The fen contains a wonderful diversity of herbs, shrubs, graminoids, and mosses! Of particular interest is the display of thousands of stems of Eriophorum. We will see at least four species, including the rare (state threatened) Eriophorum russeolum ssp. leiocarpum. The intent will be to explore and discuss the plants we find and their identifying features, with as much or as little instruction from the trip leader (and other knowledgeable people) as desired.","Along US-2, approx. 10 miles east of Marenisco, MI and 18 miles west of Watersmeet, MI",June 16 at 9:30 am CST,"US-2 Peatland Ramble
North Woods Native Plant Society – Leader: Alex Graeff
June 16 at 9:30 am CST
Expected duration: 1-2 hours
About the site:
This fen contains a wonderful diversity of herbs, shrubs, graminoids, and mosses! Of particular interest is the display of thousands of stems of Eriophorum. We will see at least four species, including the rare (state threatened) Eriophorum russeolum ssp. leiocarpum. The intent will be to explore and discuss the plants we find and their identifying features, with as much or as little instruction from the trip leader (and other knowledgeable people) as desired.
Access is easy, we will hop into the fen right off the highway. It is quite wet – if you wear rubber boots, be OK with the likelihood of topping your boot (I did when scouting – I will take the Chaco approach for the trip).
This fen, right off US-2, sits within the Ottawa National Forest boundary but is privately owned. Big thanks to the landowners who have granted us permission to explore their fen and enjoy the plants! Keep this in mind and be respectful.
Where to meet:
Along US-2, approximately 10 miles east of Marenisco, MI and 18 miles west of Watersmeet, MI
 

US-2 is being resurfaced, but when I visited June 7 this stretch was not yet under construction and parking was still available along the shoulder. If we cannot park along US-2 due to construction, then we will use the alternative space along Stage Coach. Or, if you are more comfortable parking off the highway, use the alternative spot and walk down to meet.
Preferred parking: On US-2, just east of Stage Coach Road, on the east-bound side near the ATV trail (46.35666, 89.50516). 
Alternate parking: On Stage Coach Road (46.358907, -89.505061).
We will gather on the ATV trail (Old US Hwy 2 on Google) near the preferred parking to stay off the highway until we are ready to enter the fen.
What to bring:
Water, snacks, bug protection,
",Suetrull@att.net,,,
OK to post!,x,6/22/2024 14:36:47,Kathy Wendling,Friends of the North Pikes Creek Wetlands,info@northpikescreek.org,715-779-5599,"Fishers - Cryptic Forest Carnivores, will be presented by Michael Joyce, wildlife ecologist at the Natural Resources Research Institute in Duluth. Fishers are a member of the weasel family and native to the Western Great Lakes Region. The fisher core population has declined by 50% over the last 20 years, while at the same time they've expanded their range. Joyce will discuss a general history of fishers, highlight factors contributing to their recent decline, and describe ongoing research to better understand fisher ecology.","Beaver Hollow Outdoor Education Area, 88850 Compton Rd., Bayfield, WI 54814","Wednesday, July 10, 2 pm","See full listing, https://northpikescreek.org/calendar-event/fishers/ ",info@northpikescreek.org,,,
OK to post!,x,6/22/2024 14:39:54,Kathy Wendling,Friends of the North Pikes Creek Wetlands,info@northpikescreek.org,715-779-5599,"Join us at Beaver Hollow on July 18, at 2 pm, to hear Ryan Michalesko of the International Crane Foundation (ICF) talk about Wisconsin’s Sandhill and Whooping Cranes, the importance of Wisconsin wetlands to the species, conservation policy, and the human-wildlife conflict the occurs in communities where these birds are found. Ryan will discuss ICF’s work here in Wisconsin and worldwide. The story of the Sandhill Crane, Grus canadensis, is one of true conservation success. The species – one of the oldest on the planet – was nearly extirpated in the Midwest. Sandhill Cranes are now thriving due to a mix of factors, including better wetland protection and management and their shift to agricultural crops after losing their natural grassland habitat.","Beaver Hollow Outdoor Education Area, 88850 Compton Rd., Bayfield, WI 54814","Thursday, July 18, 2 pm","See full listing, https://northpikescreek.org/calendar-event/sandhill-cranes/",info@northpikescreek.org,,,
OK to post!,x,6/22/2024 14:48:30,Kathy Wendling,Friends of the North Pikes Creek Wetlands,info@northpikescreek.org,715-779-5599,"Michael Joyce of the Natural Resources Research Institute presents “Northern Flying Squirrels – Forest Gliders” at 2 pm, Wednesday July 24. Climate change is altering the distribution of many animal species, creating new zones of overlap between species that historically did not coexist. Flying squirrels are important members of our forest communities throughout the Western Great Lakes Region. In the much of eastern North America, climate change is allowing southern flying squirrels to move north into areas that were previously solely occupied by northern flying squirrels, leading in some places to increased competition and displacement of northern flying squirrels. In this presentation, Joyce will discuss flying squirrel ecology and ongoing research on flying squirrel distribution.","Beaver Hollow Outdoor Education Area, 88850 Compton Rd., Bayfield, WI 54814","Wednesday, July 24, 2 pm","Full listing, https://northpikescreek.org/calendar-event/northern-flying-squirrels/ ",info@northpikescreek.org,,,
OK to post!,x,7/2/2024 10:16:03,Howard Aprill,Wehr Nature Center,howard.aprill@milwaukeecountywi.gov,4144258550,"From Water to Land: Metamorphosis in Wisconsin Aquatic Organisms.
Join us for a deep dive into one Earth's most complex and diverse ecosystems: your local pond. To survive, amphibians, insects, and arthropods experience rapid, radical, and remarkable metamorphosis. Hand lenses, microscopes and sampling will reveal what lives just below the water. Be prepared to be outside for 90-minutes. ","Wehr Nature Center, Franklin","August 24, 2024  9am - Noon",Registration Link: https://www.wehrnaturecenter.com/event/advanced-master-naturalist-class-from-water-to-land-metamorphosis-in-wisconsin-aquatic-organisms/,howard.aprill@milwaukeecountywi.gov,,,
OK to post!,x,7/18/2024 16:16:14,Beth Bartoli,WI DNR Newport State Park,beth.bartoli@wisconsin.gov,920-854-2500,"Invasive Species Forum with Matt Wallrath 

Join Matt Wallrath of the Wisconsin First Detectors Network as he talks about the work being done with Invasive Species . 
Local topics and statewide projects will be discussed. Bring questions about your yard, forests, and favorite parks.
 A Milwaukee born and Wisconsin educated ecologist, Matt is happy to continue his career as a conservationist with UW-Madison.","Newport State Park, 475 County Road NP, Ellison Bay, WI ","Friday, Aug. 16, 10-11:30 am","This forum will be held in the Nature Center, Lot 1. ",beth.bartoli@wisconsin.gov,,,
OK to post!,x,7/28/2024 11:14:36,Colleen Robinson,Friends of Pheasant Branch Conservancy,cbrklug@gmail.com,6083954724,"On Friday, August 9, at 7PM, Heather Kaarakka, a conservation biologist with the Wisconsin DNR and our state Bat Expert, will give a talk on bats and bat population monitoring at St. Dunstan’s Episcopal Church at 6205 University Avenue. Light refreshments will be served, and interested folks can stay after the talk to watch bats emerge from the “roost” on the church grounds. (You may want to bring a folding chair or picnic blanket.) This event is open to the public and we warmly invite friends and neighbors to join us! ","St. Dunstan’s Episcopal Church at 6205 University Avenue, Middleton, WI","August 9, 2024 at 7:00 p.m.",Pheasant Branch Conservancy is promoting this event for our partners at St. Dunstan's,cbrklug@gmail.com,,,
OK to post!,x,7/28/2024 11:17:18,Colleen Robinson,Forest Stewards Guild,colleen@foreststewardsguild.org,6083954724,"The Forest Stewards Guild is hosting our Lake States Guild Gathering at the University of Wisconsin’s Kemp Station in Wisconsin’s beautiful north woods. We will discuss several topics related to silviculture and forest stewardship. Main themes include a focus on Forestry for Wisconsin Birds and a field tour to review the first 15+ years of the Managed Old Growth Silviculture Study site on the 29th.

This Guild e-newsletter article is related to old growth topics and information we’ll dig into at this gathering!","Kemp Natural Resources Station 9161 Kemp Rd, Woodruff, WI 54568",August 28 @ 10:00 am - August 29 @ 12:00 pm,Lodging is available at Kemp. See event page for more details and to register: https://foreststewardsguild.org/event/lake-states-guild-gathering-old-growth-birds-and-more/,cbrklug@gmail.com,,,
OK to post!,x,7/28/2024 11:19:14,Colleen Robinson,Friends of Pheasant Branch Conservancy,cbrklug@gmail.com,6083954724,RAPTOR DEMONSTRATION WITH HOO’S WOODS RAPTOR CENTER,"Middleton Public Library 7425 Hubbard Ave, Middleton, WI",SEPTEMBER 19 @ 6:00PM–7:30PM,"Conservancy Days occur at 6pm on the third Thursday of the month at the Middleton Public Library, 7425 Hubbard Ave. Registration required—sign up at midlibrary.org/events.",cbrklug@gmail.com,,,
OK to post!,x,7/28/2024 11:20:18,Colleen Robinson,Friends of Pheasant Branch Conservancy,cbrklug@gmail.com,6083954724,CONSERVANCY DAYS: FIRE ECOLOGY WITH SCOTT FULTON,"Middleton Public Library 7425 Hubbard Ave, Middleton, WI",November 21 @ 6:00pm–7:30pm,"Registration required—sign up at midlibrary.org/events. Conservancy Days occur at 6pm on the third Thursday of the month at the Middleton Public Library, 7425 Hubbard Ave.",cbrklug@gmail.com,,,
OK to post!,x,7/31/2024 9:39:59,Becca Dymzarov,Rock River Coalition,becca@rockrivercoalition.org,920-541-6766,"We are excited to announce The Confluence 2024, Stewarding the Rock River Watershed: Opportunities and Successes. This is the Rock River Coalition’s biennial conference. The Confluence is an opportunity for people invested in the Rock River Basin to share stories; hear from people involved in the watershed such as WDNR, County Land and Water Conservation Departments and UW Extension staff; and connect with various organizations about volunteer and funding opportunities, lake and stream protection and restoration efforts.","Fitchburg Community Center (5510 Lacy Rd, Fitchburg, WI 53711)","Saturday, November 9th - 9:00 am to 3:45 pm",Please visit our website for additional information https://rockrivercoalition.org/what-we-do/education-recreation/the-confluence/. Agenda coming soon!,Becca@rockrivercoalition.org,,,
ok to post!,x,8/7/2024 13:32:04,Rachael Lewandowski Sarette,Wisconsin Association for Environmental Education (WAEE),rachael@waee.org,email please,"The WAEE annual conference is a professional conference and networking event for environmental education professionals, which includes formal educators, nonformal educators, government officials, school and nonprofit administrators, community organizations, Master Naturalists and more! Environmental Education has varied definitions that can occasionally feel exclusionary based on the context. This conference is for all students and professionals who work to promote outdoor learning & exploration, environmental justice & advocacy, community engagement through the environment, or any other roles that foster connection to the environment through understanding it better. If this sounds like work you do, or want to do, we invite you to come connect, explore, and engage with us this fall in the Wisconsin Dells!","Upham Woods, Wisconsin Dells","October 24-26, 2024",https://waee.org/annual-conference,rachael@waee.org,,,
ok to post!,x,9/4/2024 17:56:42,Melanie Michaels,Timber Wolf Alliance,mmichaels@northland.edu,708-533-3737,"Wolf Ecology Workshop
This workshop, instructed by Timber Wolf Alliance Chair Adrian Wydeven, Timber Wolf Alliance Coordinator Melanie Michaels, and Wisconsin Department of Natural Resources Wildlife Technician Sarah Boles, covers the basics of wolf ecology and management, including natural history, identification, monitoring techniques, wolf-human conflicts, predator-prey ecology, and wolf management. This workshop completes the first of two trainings for becoming a DNR Volunteer Carnivore Tracker for winter wolf counts.
Cost bringing your own lunch: $35
Cost if purchasing lunch: $50

https://www.northland.edu/event/wolf-ecology-workshop-fall24/","Northland College, Ashland, WI","Saturday, October 26th  9:00 am -3:00pm ",,mmichaels@norhland.edu,,,
ok to post!,x,9/4/2024 17:57:45,Melanie Michaels,Timber Wolf Alliance,mmichaels@northland.edu,708-533-3737,"Carnivore Tracking Workshop

https://www.northland.edu/event/carnivore-tracking-workshop/

This workshop, instructed by Timber Wolf Alliance Chair Adrian Wydeven and Wisconsin Department of Natural Resources Wildlife Technician Sarah Boles, teaches the basics of tracking medium-to-large-sized carnivores in Wisconsin, including track identification, gait patterns, and conducting snow track surveys. Participants will be provided with a tracker’s notebook and track field guide.
This workshop completes the second training for becoming a DNR Volunteer Carnivore Tracker for winter wolf counts.

Cost if bringing your own lunch: $50
Cost if purchasing lunch: $65","Northland College, Ashland, WI","Saturday, November 2 9:00 am – 3:30 pm",,mmichaels@northland.edu,,,
ok to post!,x,9/5/2024 18:00:53,Becca Dymzarov,Rock River Coalition,info@rockrivercoalition.org,920-541-6766,"Have you ever wanted to see how the water we use is cleaned up and returned to nature? Did you know that MMSD is invested in conservation and sustainability efforts or that the District generates over 30% of its energy demands through the production of methane gas in the wastewater treatment process? Join us for a plant tour of the District’s Nine Springs Wastewater Treatment Plant. On this plant tour, you’ll learn about the treatment process, how you can help protect our shared water resources and plant conservation and sustainability efforts. Register Here by October 23rd, 2024","Madison Metropolitan Sewerage District (1610 Moorland Rd, Madison)","Saturday, October 26th 10:00 am - 11:30 am","Register Here (https://rockrivercoalition.org/event/join-us-tour-of-madison-metropolitan-sewerage-district-mmsd/) by October 23rd, 2024",becca@rockrivercoalition.org,,,
ok to post!,x,9/5/2024 18:08:48,Becca Dymzarov,Rock River Coalition,info@rockrivercoalition.org,920-541-6766,"The Confluence returns this fall! On Saturday, Nov. 9, Rock River Coalition will host a fun day of presentations and demonstrations designed for water stewards, volunteers, conservationists and water-loving community members. This year’s conference is open to all who wish to attend.

Our theme for 2024, “Stewarding the Rock River Watershed: Opportunities and Successes,” features volunteer continuing education, opportunities for getting involved, and watershed improvement success stories. Specific topics include stewardship and engagement opportunities, stream dynamics and ecology, and restoration projects. Presenting organizations include the Wisconsin Department of Natural Resources, University of Wisconsin - Extension, numerous lake groups and other nonprofit conservation groups. 
","Fitchburg Community Center (5510 Lacy Rd, Fitchburg, WI 53711)","Saturday, Nov. 9, 2024 -9 am to 4:30 pm","Attendance is $15 (RRC Volunteer Stream Monitors will receive a voucher for free entry). Lunch is included with admission. Register here (https://rockrivercoalition.org/event/the-confluence-2024/) by Nov. 5, 2024.
",becca@rockrivercoalition.org,,,
ok to post!,x,9/9/2024 11:01:45,Chris Kavalauskas,Retzer Nature Center,ckavalauskas@waukeshacounty.gov,262-896-8007,"The study of birds can be fascinating, inspiring, life-changing, challenging, and sometimes downright frustrating. Join Dr. Andrew Cassini on a nine week journey to learn all about bird identification. The course will consist of ten sessions of classroom instruction at Retzer Nature Center and five outdoor field sessions at various locations in Southeast Wisconsin including: Lake Country natural areas, Vernon Marsh, Paradise Valley, Horicon Marsh, and the Milwaukee lakefront.",Retzer Nature Center ,Ten Tuesday evenings classroom sessions beginning April 1 and Five Saturday morning field sessions beginning April 5,More information and registration link can be found at: https://www.waukeshacounty.gov/landandparks/park-system/find-a-park/retzer-nature-center/specialevents/FieldOrnithology/,ckavalauskas@waukeshacounty.gov,,,
